Timestamp,Nama atau Inisial:,Jenjang Pendidikan Saat Ini:,Apakah kamu pernah mencoba belajar coding/pemrograman sebelumnya?,Hambatan Saat Belajar Coding [Saya bingung harus mulai belajar coding dari mana karena materinya terlalu banyak di internet.],Hambatan Saat Belajar Coding [Penjelasan materi coding di internet sering kali terlalu rumit dan membingungkan.],"Hambatan Saat Belajar Coding [Menghafal rumus tulisan kode (seperti tanda kurung, titik koma, simbol) sangat menyulitkan bagi saya.]",Hambatan Saat Belajar Coding [Mencari bagian kode yang salah saat program komputer eror (debugging) membuat saya malas melanjutkan.],Hambatan Saat Belajar Coding [Pesan eror komputer yang menggunakan istilah bahasa Inggris yang rumit membuat saya stres dan merasa gagal.],Solusi & Fitur Impianmu [Saya lebih suka materi coding yang disusun berurutan lewat peta jalan (roadmap) yang jelas.],Solusi & Fitur Impianmu [Saya ingin langsung melihat hasil dari kode yang saya buat secara langsung di layar saat itu juga.],"Solusi & Fitur Impianmu [Saya ingin pesan eror memberikan petunjuk arah yang ramah, membimbing, dan tetap memotivasi saya.]","Solusi & Fitur Impianmu [Saya lebih semangat belajar jika ada sistem hadiah, level, lencana, dan papan peringkat kompetisi dengan teman.]",Solusi & Fitur Impianmu [Memiliki teman belajar virtual (robot pendamping/maskot) di dalam aplikasi akan mengurangi rasa bosan saya.],"Ceritakan pengalaman paling menyebalkan atau membuat frustrasi yang pernah kamu alami saat belajarmu eror atau saat mencoba memahami coding! (Jika belum pernah belajar, apa ketakutan terbesarmu sebelum mulai belajar coding?)",Preferensi Visual & Antarmuka (UI/UX Expectation) [Saya lebih menyukai aplikasi belajar yang menggunakan warna cerah namun menenangkan (seperti kombinasi warna biru dan teal/hijau kebiruan) agar bisa tetap fokus.],"Preferensi Visual & Antarmuka (UI/UX Expectation) [Saya lebih suka desain aplikasi yang modern, bersih, banyak ruang kosong, dan tidak terlalu padat penuh teks (clean design).]",Preferensi Visual & Antarmuka (UI/UX Expectation) [Saya merasa bentuk tombol atau kotak materi yang membulat (rounded corners) terasa lebih ramah dan tidak kaku dibandingkan bentuk kotak yang bersudut tajam.],Preferensi Visual & Antarmuka (UI/UX Expectation) [Saya menyukai aplikasi yang memiliki pilihan Mode Gelap (Dark Mode) karena saya sering belajar atau membuka HP di malam hari.],Preferensi Visual & Antarmuka (UI/UX Expectation) [Saya merasa penggunaan gambar ikon/simbol yang tebal dan jelas jauh lebih membantu saya memahami fungsi menu daripada teks penjelasan yang panjang.],Preferensi Visual & Antarmuka (UI/UX Expectation) [Saya lebih mudah memahami data perkembangan belajar saya jika ditampilkan dalam bentuk grafik visual (seperti grafik batang atau lingkaran progres) daripada angka-angka saja.],"Ketika belajar menggunakan aplikasi baru di HP atau laptop, hal apa yang paling sering membuatmu bingung atau malas melanjutkan?","Tuliskan aplikasi belajar (apa pun itu, tidak harus aplikasi coding) yang menurutmu memiliki tampilan paling bagus, rapi, dan paling nyaman saat kamu gunakan! Sebutkan juga alasan kenapa kamu menyukai tampilan aplikasi tersebut."
26/05/2026 04:50:00,Rizky44,Perguruan Tinggi (D3/D4/S1),"Pernah, sedang aktif belajar saat ini",4 (Setuju),3 (Netral),2 (Tidak Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),Nanya ke AI tapi jawabannya malah muter-muter dan kodenya dibatasi limit gratisan.,4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),Loading-nya lama dan transisi halatmannya kaku banget.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
26/05/2026 05:05:00,Tiara56,SMA / SMK / Sederajat,"Pernah, baru mencoba dasar-dasarnya",3 (Netral),3 (Netral),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),"Gak tahu cara instalasi *environment*-nya, baru mulai udah eror duluan di terminal.",5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),Iklan pop-up yang terlalu banyak mendadak muncul di tengah layar.,"Saya suka Duolingo, Karna interaktif, banyak animasi lucu, dan warna clean jadinya belajar berasa main game."
25/05/2026 20:49:00,Eka55,Perguruan Tinggi (D3/D4/S1),"Pernah, sedang aktif belajar saat ini",3 (Netral),3 (Netral),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),4 (Setuju),"Pesan erornya panjang banget pakai bahasa Inggris dewa, gak paham maksudnya apa.",4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),Loading-nya lama dan transisi halatmannya kaku banget.,"Saya suka Canva, Tombol-tombolnya gampang dicari, bentuk rounded-nya estetik dan modern."
25/05/2026 16:01:00,Tio56,SMA / SMK / Sederajat,"Pernah, sedang aktif belajar saat ini",4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),3 (Netral),5 (Sangat Setuju),4 (Setuju),4 (Setuju),3 (Netral),4 (Setuju),Nanya ke AI tapi jawabannya malah muter-muter dan kodenya dibatasi limit gratisan.,5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),4 (Setuju),Loading-nya lama dan transisi halatmannya kaku banget.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
26/05/2026 04:35:00,Intan97,SMA / SMK / Sederajat,"Pernah, sedang aktif belajar saat ini",3 (Netral),3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),Nanya ke AI tapi jawabannya malah muter-muter dan kodenya dibatasi limit gratisan.,3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),Iklan pop-up yang terlalu banyak mendadak muncul di tengah layar.,"Saya suka Canva, Tombol-tombolnya gampang dicari, bentuk rounded-nya estetik dan modern."
26/05/2026 02:17:00,Budi40,SMA / SMK / Sederajat,"Pernah, sedang aktif belajar saat ini",3 (Netral),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),3 (Netral),Sering typo nulis sintaks terus nyari salahnya setengah mati.,3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),Alur perpindahan halaman yang membingungkan dan tombol menu yang sulit dicari.,"Saya suka Ruangguru, Tampilannya rapi, materi disusun berurutan, dan grafik progres belajarnya jelas."
25/05/2026 16:13:00,Bayu13,SMA / SMK / Sederajat,"Pernah, sedang aktif belajar saat ini",5 (Sangat Setuju),3 (Netral),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),"Gak tahu cara instalasi *environment*-nya, baru mulai udah eror duluan di terminal.",3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),"Menu navigasinya sembunyi-sembunyi, jadi bingung harus klik yang mana.","Saya suka Canva, Tombol-tombolnya gampang dicari, bentuk rounded-nya estetik dan modern."
26/05/2026 05:17:00,Alya92,SMA / SMK / Sederajat,"Pernah, sedang aktif belajar saat ini",3 (Netral),3 (Netral),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),3 (Netral),"Pesan erornya panjang banget pakai bahasa Inggris dewa, gak paham maksudnya apa.",4 (Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),Alur perpindahan halaman yang membingungkan dan tombol menu yang sulit dicari.,"Saya suka Duolingo, Karna interaktif, banyak animasi lucu, dan warna clean jadinya belajar berasa main game."
26/05/2026 04:12:00,Anisa94,Perguruan Tinggi (D3/D4/S1),Belum pernah sama sekali,5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),3 (Netral),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),"Materi di internet lompat-lompat, baru belajar dasar besoknya udah disuruh bikin projek ribet.",5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),"Menu navigasinya sembunyi-sembunyi, jadi bingung harus klik yang mana.","Saya suka Duolingo, Karna interaktif, banyak animasi lucu, dan warna clean jadinya belajar berasa main game."
25/05/2026 20:25:00,Bayu31,Perguruan Tinggi (D3/D4/S1),"Pernah, baru mencoba dasar-dasarnya",4 (Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),"Pesan erornya panjang banget pakai bahasa Inggris dewa, gak paham maksudnya apa.",3 (Netral),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),Ukuran font-nya terlalu kecil dan gak bisa dizoom.,"Saya suka Ruangguru, Tampilannya rapi, materi disusun berurutan, dan grafik progres belajarnya jelas."
25/05/2026 13:47:00,Dika88,SMA / SMK / Sederajat,Belum pernah sama sekali,4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),3 (Netral),4 (Setuju),Takut gak bakalan paham karena dasarnya bukan anak matematika atau SMK komputer.,3 (Netral),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),Alur perpindahan halaman yang membingungkan dan tombol menu yang sulit dicari.,"Saya suka Duolingo, Karna interaktif, banyak animasi lucu, dan warna clean jadinya belajar berasa main game."
25/05/2026 19:17:00,Hafiz33,Perguruan Tinggi (D3/D4/S1),"Pernah, sedang aktif belajar saat ini",4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),"Bingung nyari eror di baris mana, aplikasinya langsung nge-crash tanpa petunjuk jelas.",4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),"Terlalu banyak teks penjelasan di satu layar, bikin mata capek membaca.","Saya suka Duolingo, Karna interaktif, banyak animasi lucu, dan warna clean jadinya belajar berasa main game."
26/05/2026 06:27:00,Zaki21,SMA / SMK / Sederajat,"Pernah, sedang aktif belajar saat ini",4 (Setuju),3 (Netral),3 (Netral),5 (Sangat Setuju),3 (Netral),4 (Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),4 (Setuju),"Materi di internet lompat-lompat, baru belajar dasar besoknya udah disuruh bikin projek ribet.",5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),3 (Netral),4 (Setuju),Warna aplikasinya terlalu nabrak atau kontrasnya bikin sakit mata.,"Saya suka Notion, Clean design, banyak ruang kosong, kerasa produktif kalau dipakai."
25/05/2026 16:41:00,Dika74,Perguruan Tinggi (D3/D4/S1),"Pernah, baru mencoba dasar-dasarnya",4 (Setuju),3 (Netral),3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),Takut gak bakalan paham karena dasarnya bukan anak matematika atau SMK komputer.,3 (Netral),4 (Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),"Terlalu banyak teks penjelasan di satu layar, bikin mata capek membaca.","Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
26/05/2026 04:05:00,Zaki14,SMA / SMK / Sederajat,Belum pernah sama sekali,3 (Netral),3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),"Eror titik koma kurang satu tapi nyarinya sampai dua jam, bikin pusing.",4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),Warna aplikasinya terlalu nabrak atau kontrasnya bikin sakit mata.,"Saya suka Ruangguru, Tampilannya rapi, materi disusun berurutan, dan grafik progres belajarnya jelas."
26/05/2026 07:09:00,Dika68,SMA / SMK / Sederajat,"Pernah, baru mencoba dasar-dasarnya",5 (Sangat Setuju),4 (Setuju),2 (Tidak Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),3 (Netral),4 (Setuju),"Pesan erornya panjang banget pakai bahasa Inggris dewa, gak paham maksudnya apa.",3 (Netral),4 (Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),"Terlalu banyak teks penjelasan di satu layar, bikin mata capek membaca.","Saya suka Canva, Tombol-tombolnya gampang dicari, bentuk rounded-nya estetik dan modern."
25/05/2026 18:20:00,Fajar67,Perguruan Tinggi (D3/D4/S1),Belum pernah sama sekali,4 (Setuju),5 (Sangat Setuju),3 (Netral),5 (Sangat Setuju),3 (Netral),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),"Gak tahu cara instalasi *environment*-nya, baru mulai udah eror duluan di terminal.",3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),Ukuran font-nya terlalu kecil dan gak bisa dizoom.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
25/05/2026 16:57:00,Eka85,Perguruan Tinggi (D3/D4/S1),Belum pernah sama sekali,5 (Sangat Setuju),5 (Sangat Setuju),3 (Netral),4 (Setuju),3 (Netral),4 (Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),"Eror titik koma kurang satu tapi nyarinya sampai dua jam, bikin pusing.",3 (Netral),5 (Sangat Setuju),4 (Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),Ukuran font-nya terlalu kecil dan gak bisa dizoom.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
25/05/2026 18:30:00,Andi75,Perguruan Tinggi (D3/D4/S1),"Pernah, sedang aktif belajar saat ini",3 (Netral),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),3 (Netral),4 (Setuju),"Bingung nyari eror di baris mana, aplikasinya langsung nge-crash tanpa petunjuk jelas.",4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),Warna aplikasinya terlalu nabrak atau kontrasnya bikin sakit mata.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
26/05/2026 06:35:00,Rara49,Perguruan Tinggi (D3/D4/S1),"Pernah, baru mencoba dasar-dasarnya",5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),3 (Netral),"Eror titik koma kurang satu tapi nyarinya sampai dua jam, bikin pusing.",4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),Gak ada petunjuk awal (onboarding) pas pertama kali buka aplikasi.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
25/05/2026 20:11:00,Budi64,SMA / SMK / Sederajat,"Pernah, baru mencoba dasar-dasarnya",5 (Sangat Setuju),3 (Netral),3 (Netral),5 (Sangat Setuju),3 (Netral),4 (Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),Udah ngikutin tutorial di YouTube step-by-step tapi pas dijalankan di laptop sendiri tetep eror.,5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),4 (Setuju),"Terlalu banyak teks penjelasan di satu layar, bikin mata capek membaca.","Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
25/05/2026 20:17:00,Zaki75,Perguruan Tinggi (D3/D4/S1),Belum pernah sama sekali,4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),"Eror titik koma kurang satu tapi nyarinya sampai dua jam, bikin pusing.",4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),3 (Netral),5 (Sangat Setuju),Warna aplikasinya terlalu nabrak atau kontrasnya bikin sakit mata.,"Saya suka Skilleo, Desainnya minimalis, gak banyak teks padat, mudah dipahami menunya."
26/05/2026 10:20:00,Andi34,Perguruan Tinggi (D3/D4/S1),Belum pernah sama sekali,3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),4 (Setuju),4 (Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),"Materi di internet lompat-lompat, baru belajar dasar besoknya udah disuruh bikin projek ribet.",5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),Ukuran font-nya terlalu kecil dan gak bisa dizoom.,"Saya suka Duolingo, Karna interaktif, banyak animasi lucu, dan warna clean jadinya belajar berasa main game."
26/05/2026 05:53:00,Salsa69,Perguruan Tinggi (D3/D4/S1),"Pernah, baru mencoba dasar-dasarnya",3 (Netral),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),3 (Netral),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),3 (Netral),"Eror titik koma kurang satu tapi nyarinya sampai dua jam, bikin pusing.",5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),4 (Setuju),Ukuran font-nya terlalu kecil dan gak bisa dizoom.,"Saya suka Sololearn, Simpel, langsung bisa nyoba ketik kode di HP tanpa ribet setup."
26/05/2026 09:15:00,Fadel15,Perguruan Tinggi (D3/D4/S1),"Pernah, baru mencoba dasar-dasarnya",5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),"Pesan erornya panjang banget pakai bahasa Inggris dewa, gak paham maksudnya apa.",5 (Sangat Setuju),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),"Terlalu banyak teks penjelasan di satu layar, bikin mata capek membaca.","Saya suka Canva, Tombol-tombolnya gampang dicari, bentuk rounded-nya estetik dan modern."
26/05/2026 01:29:00,Arif79,Perguruan Tinggi (D3/D4/S1),"Pernah, baru mencoba dasar-dasarnya",4 (Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),3 (Netral),4 (Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),Waktu nyoba nyontek kode dari Github malah versinya gak cocok dan eror semua.,4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),Alur perpindahan halaman yang membingungkan dan tombol menu yang sulit dicari.,"Saya suka Duolingo, Karna interaktif, banyak animasi lucu, dan warna clean jadinya belajar berasa main game."
26/05/2026 01:38:00,Siti11,SMA / SMK / Sederajat,"Pernah, baru mencoba dasar-dasarnya",4 (Setuju),3 (Netral),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),"Bingung nyari eror di baris mana, aplikasinya langsung nge-crash tanpa petunjuk jelas.",3 (Netral),4 (Setuju),4 (Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),"Terlalu banyak teks penjelasan di satu layar, bikin mata capek membaca.","Saya suka Duolingo, Karna interaktif, banyak animasi lucu, dan warna clean jadinya belajar berasa main game."
26/05/2026 01:47:00,Zaki70,Perguruan Tinggi (D3/D4/S1),Belum pernah sama sekali,4 (Setuju),3 (Netral),2 (Tidak Setuju),5 (Sangat Setuju),3 (Netral),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),3 (Netral),5 (Sangat Setuju),"Bingung nyari eror di baris mana, aplikasinya langsung nge-crash tanpa petunjuk jelas.",5 (Sangat Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),Gak ada petunjuk awal (onboarding) pas pertama kali buka aplikasi.,"Saya suka Duolingo, Karna interaktif, banyak animasi lucu, dan warna clean jadinya belajar berasa main game."
26/05/2026 05:14:00,Dimas89,Perguruan Tinggi (D3/D4/S1),"Pernah, sedang aktif belajar saat ini",5 (Sangat Setuju),3 (Netral),3 (Netral),4 (Setuju),3 (Netral),4 (Setuju),4 (Setuju),5 (Sangat Setuju),5 (Sangat Setuju),4 (Setuju),Udah ngikutin tutorial di YouTube step-by-step tapi pas dijalankan di laptop sendiri tetep eror.,5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),5 (Sangat Setuju),4 (Setuju),Alur perpindahan halaman yang membingungkan dan tombol menu yang sulit dicari.,"Saya suka Notion, Clean design, banyak ruang kosong, kerasa produktif kalau dipakai."
